#EDL	Date	20.11.2014	Local Time	16:24:19	H-100 T-2.06	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
06:27:31.461	0.00094978	0.00192895
06:27:31.469	0.00068562	0.00183650
06:27:31.477	0.00071864	0.00211384
06:27:31.484	0.00085072	0.00202140
06:27:31.492	0.00085072	0.00208303
06:27:31.500	0.00098280	0.00183650
06:27:31.508	0.00078468	0.00183650
06:27:31.516	0.00065260	0.00214466
06:27:31.523	0.00091676	0.00195976
06:27:31.531	0.00091676	0.00186732
06:27:31.539	0.00098280	0.00180569
06:27:31.547	0.00075166	0.00183650
06:27:31.555	0.00078468	0.00192895
06:27:31.563	0.00085072	0.00186732
06:27:31.570	0.00085072	0.00177487
06:27:31.578	0.00094978	0.00177487
06:27:31.586	0.00075166	0.00202140
06:27:31.594	0.00094978	0.00174406
06:27:31.602	0.00075166	0.00186732
06:27:31.609	0.00081770	0.00186732
06:27:31.617	0.00085072	0.00189813
06:27:31.625	0.00094978	0.00180569
06:27:31.633	0.00091676	0.00168243
06:27:31.641	0.00098280	0.00155917
06:27:31.648	0.00088374	0.00158998
06:27:31.656	0.00068562	0.00177487
06:27:31.664	0.00078468	0.00180569
06:27:31.672	0.00081770	0.00189813
06:27:31.680	0.00088374	0.00162080
06:27:31.688	0.00065260	0.00174406
06:27:31.695	0.00081770	0.00162080
06:27:31.703	0.00081770	0.00168243
06:27:31.711	0.00078468	0.00162080
06:27:31.719	0.00065260	0.00158998
06:27:31.727	0.00055353	0.00180569
06:27:31.734	0.00071864	0.00149754
06:27:31.742	0.00075166	0.00158998
06:27:31.750	0.00078468	0.00168243
06:27:31.758	0.00068562	0.00152835
06:27:31.766	0.00052051	0.00189813
06:27:31.773	0.00068562	0.00152835
06:27:31.781	0.00078468	0.00158998
06:27:31.789	0.00071864	0.00158998
06:27:31.797	0.00075166	0.00158998
06:27:31.805	0.00081770	0.00165161
06:27:31.813	0.00055353	0.00158998
06:27:31.820	0.00065260	0.00146672
06:27:31.828	0.00071864	0.00165161
06:27:31.836	0.00068562	0.00165161
06:27:31.844	0.00068562	0.00158998
06:27:31.852	0.00071864	0.00146672
06:27:31.859	0.00068562	0.00143591
06:27:31.867	0.00048749	0.00152835
06:27:31.875	0.00061958	0.00165161
06:27:31.883	0.00075166	0.00183650
06:27:31.891	0.00071864	0.00168243
06:27:31.898	0.00058656	0.00177487
06:27:31.906	0.00058656	0.00180569
06:27:31.914	0.00075166	0.00165161
06:27:31.922	0.00075166	0.00162080
06:27:31.930	0.00061958	0.00165161
06:27:31.938	0.00045447	0.00174406
06:27:31.945	0.00042145	0.00168243
06:27:31.953	0.00058656	0.00177487
06:27:31.961	0.00071864	0.00168243
06:27:31.969	0.00061958	0.00158998
06:27:31.977	0.00068562	0.00189813
06:27:31.984	0.00065260	0.00186732
06:27:31.992	0.00071864	0.00171324
06:27:32.000	0.00068562	0.00165161
06:27:32.008	0.00058656	0.00177487
06:27:32.016	0.00075166	0.00177487
06:27:32.023	0.00058656	0.00177487
06:27:32.031	0.00065260	0.00168243
06:27:32.039	0.00078468	0.00180569
06:27:32.047	0.00058656	0.00174406
06:27:32.055	0.00065260	0.00189813
06:27:32.063	0.00071864	0.00168243
06:27:32.070	0.00065260	0.00168243
06:27:32.078	0.00055353	0.00186732
06:27:32.086	0.00058656	0.00165161
06:27:32.094	0.00085072	0.00177487
06:27:32.102	0.00061958	0.00171324
06:27:32.109	0.00055353	0.00183650
06:27:32.117	0.00065260	0.00186732
06:27:32.125	0.00075166	0.00183650
06:27:32.133	0.00061958	0.00165161
06:27:32.141	0.00088374	0.00149754
