#EDL	Date	21.11.2014	Local Time	 9:58:56	H-200 T-3.00	
Rate (Hz)	Main array	
128.000000	element_1	element_2
Time	Gauge	Gauge
s	m	m
00:47:13.258	-0.00113044	-0.00210753
00:47:13.266	-0.00113044	-0.00223077
00:47:13.273	-0.00106440	-0.00226158
00:47:13.281	-0.00122949	-0.00250806
00:47:13.289	-0.00109742	-0.00232320
00:47:13.297	-0.00129553	-0.00253887
00:47:13.305	-0.00129553	-0.00250806
00:47:13.313	-0.00132854	-0.00256968
00:47:13.320	-0.00152665	-0.00275454
00:47:13.328	-0.00149363	-0.00290858
00:47:13.336	-0.00169173	-0.00275454
00:47:13.344	-0.00162570	-0.00281615
00:47:13.352	-0.00172475	-0.00303182
00:47:13.359	-0.00169173	-0.00315505
00:47:13.367	-0.00188983	-0.00321667
00:47:13.375	-0.00182380	-0.00297020
00:47:13.383	-0.00179078	-0.00312424
00:47:13.391	-0.00175777	-0.00315505
00:47:13.398	-0.00192285	-0.00318586
00:47:13.406	-0.00195587	-0.00312424
00:47:13.414	-0.00192285	-0.00327829
00:47:13.422	-0.00222000	-0.00324748
00:47:13.430	-0.00175777	-0.00330910
00:47:13.438	-0.00205492	-0.00327829
00:47:13.445	-0.00218698	-0.00318586
00:47:13.453	-0.00195587	-0.00315505
00:47:13.461	-0.00192285	-0.00309344
00:47:13.469	-0.00205492	-0.00327829
00:47:13.477	-0.00198888	-0.00321667
00:47:13.484	-0.00202190	-0.00349395
00:47:13.492	-0.00195587	-0.00318586
00:47:13.500	-0.00195587	-0.00337071
00:47:13.508	-0.00195587	-0.00324748
00:47:13.516	-0.00202190	-0.00315505
00:47:13.523	-0.00188983	-0.00309344
00:47:13.531	-0.00179078	-0.00330910
00:47:13.539	-0.00162570	-0.00324748
00:47:13.547	-0.00192285	-0.00318586
00:47:13.555	-0.00179078	-0.00321667
00:47:13.563	-0.00172475	-0.00303182
00:47:13.570	-0.00159268	-0.00315505
00:47:13.578	-0.00152665	-0.00315505
00:47:13.586	-0.00172475	-0.00315505
00:47:13.594	-0.00136156	-0.00315505
00:47:13.602	-0.00155966	-0.00315505
00:47:13.609	-0.00136156	-0.00312424
00:47:13.617	-0.00139458	-0.00306263
00:47:13.625	-0.00132854	-0.00284696
00:47:13.633	-0.00103138	-0.00297020
00:47:13.641	-0.00093233	-0.00300101
00:47:13.648	-0.00096535	-0.00309344
00:47:13.656	-0.00113044	-0.00300101
00:47:13.664	-0.00106440	-0.00306263
00:47:13.672	-0.00076724	-0.00297020
00:47:13.680	-0.00053611	-0.00321667
00:47:13.688	-0.00056913	-0.00318586
00:47:13.695	-0.00056913	-0.00297020
00:47:13.703	-0.00066818	-0.00318586
00:47:13.711	-0.00050309	-0.00346314
00:47:13.719	-0.00050309	-0.00340152
00:47:13.727	-0.00066818	-0.00333990
00:47:13.734	-0.00037102	-0.00333990
00:47:13.742	-0.00020592	-0.00343233
00:47:13.750	-0.00033800	-0.00367880
00:47:13.758	-0.00030498	-0.00355556
00:47:13.766	-0.00033800	-0.00349395
00:47:13.773	-0.00004082	-0.00343233
00:47:13.781	-0.00020592	-0.00370960
00:47:13.789	-0.00013988	-0.00377122
00:47:13.797	-0.00017290	-0.00389445
00:47:13.805	-0.00030498	-0.00395607
00:47:13.813	-0.00013988	-0.00404849
00:47:13.820	-0.00013988	-0.00414091
00:47:13.828	-0.00023894	-0.00404849
00:47:13.836	-0.00037102	-0.00407930
00:47:13.844	-0.00013988	-0.00417172
00:47:13.852	-0.00007384	-0.00420253
00:47:13.859	-0.00010686	-0.00451060
00:47:13.867	-0.00040403	-0.00426414
00:47:13.875	-0.00023894	-0.00438737
00:47:13.883	-0.00037102	-0.00457221
00:47:13.891	-0.00047007	-0.00454140
00:47:13.898	-0.00056913	-0.00469544
00:47:13.906	-0.00080026	-0.00466463
00:47:13.914	-0.00063517	-0.00484947
00:47:13.922	-0.00047007	-0.00481866
00:47:13.930	-0.00056913	-0.00497270
00:47:13.938	-0.00096535	-0.00475705
00:47:13.945	-0.00106440	-0.00488028
00:47:13.953	-0.00099837	-0.00484947
00:47:13.961	-0.00086629	-0.00512673
00:47:13.969	-0.00116346	-0.00503431
00:47:13.977	-0.00142760	-0.00478786
00:47:13.984	-0.00146061	-0.00503431
00:47:13.992	-0.00132854	-0.00528076
00:47:14.000	-0.00132854	-0.00509592
00:47:14.008	-0.00169173	-0.00497270
00:47:14.016	-0.00182380	-0.00494189
00:47:14.023	-0.00169173	-0.00506511
00:47:14.031	-0.00149363	-0.00497270
00:47:14.039	-0.00182380	-0.00509592
00:47:14.047	-0.00205492	-0.00500350
00:47:14.055	-0.00198888	-0.00481866
00:47:14.063	-0.00205492	-0.00512673
00:47:14.070	-0.00182380	-0.00521914
00:47:14.078	-0.00202190	-0.00515753
00:47:14.086	-0.00231905	-0.00506511
00:47:14.094	-0.00235206	-0.00481866
00:47:14.102	-0.00202190	-0.00497270
00:47:14.109	-0.00225301	-0.00503431
00:47:14.117	-0.00212095	-0.00509592
00:47:14.125	-0.00208793	-0.00497270
00:47:14.133	-0.00205492	-0.00491108
00:47:14.141	-0.00198888	-0.00509592
00:47:14.148	-0.00192285	-0.00503431
00:47:14.156	-0.00192285	-0.00484947
00:47:14.164	-0.00195587	-0.00478786
00:47:14.172	-0.00192285	-0.00481866
00:47:14.180	-0.00188983	-0.00500350
00:47:14.188	-0.00188983	-0.00515753
00:47:14.195	-0.00175777	-0.00481866
00:47:14.203	-0.00175777	-0.00484947
00:47:14.211	-0.00182380	-0.00503431
00:47:14.219	-0.00139458	-0.00506511
00:47:14.227	-0.00152665	-0.00481866
00:47:14.234	-0.00162570	-0.00494189
00:47:14.242	-0.00146061	-0.00515753
00:47:14.250	-0.00109742	-0.00506511
00:47:14.258	-0.00113044	-0.00521914
00:47:14.266	-0.00113044	-0.00497270
00:47:14.273	-0.00096535	-0.00512673
00:47:14.281	-0.00099837	-0.00521914
00:47:14.289	-0.00066818	-0.00515753
00:47:14.297	-0.00070120	-0.00515753
00:47:14.305	-0.00053611	-0.00512673
00:47:14.313	-0.00056913	-0.00515753
00:47:14.320	-0.00047007	-0.00528076
00:47:14.328	-0.00040403	-0.00528076
00:47:14.336	-0.00033800	-0.00515753
00:47:14.344	-0.00027196	-0.00515753
00:47:14.352	-0.00027196	-0.00531156
00:47:14.359	-0.00007384	-0.00531156
00:47:14.367	-0.00027196	-0.00537317
00:47:14.375	-0.00010686	-0.00503431
00:47:14.383	-0.00000780	-0.00534237
00:47:14.391	0.00009125	-0.00537317
00:47:14.398	0.00025635	-0.00521914
00:47:14.406	-0.00004082	-0.00494189
00:47:14.414	0.00005824	-0.00503431
00:47:14.422	0.00012427	-0.00503431
00:47:14.430	0.00035541	-0.00512673
00:47:14.438	0.00015729	-0.00509592
00:47:14.445	0.00019031	-0.00475705
00:47:14.453	0.00028937	-0.00497270
00:47:14.461	0.00015729	-0.00500350
00:47:14.469	0.00032239	-0.00497270
00:47:14.477	-0.00000780	-0.00466463
00:47:14.484	-0.00010686	-0.00488028
00:47:14.492	-0.00013988	-0.00466463
00:47:14.500	0.00015729	-0.00497270
00:47:14.508	-0.00007384	-0.00475705
00:47:14.516	-0.00027196	-0.00438737
00:47:14.523	-0.00013988	-0.00457221
00:47:14.531	-0.00037102	-0.00441818
00:47:14.539	-0.00013988	-0.00463382
00:47:14.547	-0.00063517	-0.00454140
00:47:14.555	-0.00060215	-0.00447979
00:47:14.563	-0.00063517	-0.00438737
00:47:14.570	-0.00060215	-0.00444898
00:47:14.578	-0.00050309	-0.00429495
00:47:14.586	-0.00099837	-0.00404849
00:47:14.594	-0.00096535	-0.00420253
00:47:14.602	-0.00116346	-0.00414091
00:47:14.609	-0.00126251	-0.00423333
00:47:14.617	-0.00126251	-0.00420253
00:47:14.625	-0.00132854	-0.00426414
00:47:14.633	-0.00146061	-0.00417172
00:47:14.641	-0.00136156	-0.00441818
00:47:14.648	-0.00162570	-0.00426414
00:47:14.656	-0.00175777	-0.00401768
00:47:14.664	-0.00179078	-0.00420253
00:47:14.672	-0.00169173	-0.00407930
00:47:14.680	-0.00169173	-0.00438737
00:47:14.688	-0.00202190	-0.00426414
00:47:14.695	-0.00202190	-0.00411010
00:47:14.703	-0.00195587	-0.00435656
00:47:14.711	-0.00202190	-0.00429495
00:47:14.719	-0.00222000	-0.00441818
00:47:14.727	-0.00248412	-0.00404849
00:47:14.734	-0.00218698	-0.00432575
00:47:14.742	-0.00212095	-0.00423333
00:47:14.750	-0.00222000	-0.00432575
00:47:14.758	-0.00238508	-0.00429495
00:47:14.766	-0.00248412	-0.00404849
00:47:14.773	-0.00264920	-0.00426414
00:47:14.781	-0.00241809	-0.00420253
00:47:14.789	-0.00255016	-0.00420253
00:47:14.797	-0.00258317	-0.00417172
00:47:14.805	-0.00258317	-0.00429495
00:47:14.813	-0.00248412	-0.00426414
00:47:14.820	-0.00261619	-0.00429495
00:47:14.828	-0.00255016	-0.00432575
00:47:14.836	-0.00245111	-0.00414091
00:47:14.844	-0.00245111	-0.00420253
00:47:14.852	-0.00235206	-0.00417172
00:47:14.859	-0.00245111	-0.00435656
00:47:14.867	-0.00255016	-0.00401768
00:47:14.875	-0.00228603	-0.00398687
00:47:14.883	-0.00261619	-0.00401768
