time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0.49219,6.9394e-05,9.214e-05,0.00013125,3.3454e-05,3.1494e-05,3.0583e-05,7.4547e-05,0.00013862,-2.4742e-06
0.5,6.7936e-05,0.000104,0.000131,3.367e-05,3.1089e-05,2.9855e-05,7.4242e-05,0.000138,-2.1482e-05
0.50781,6.8697e-05,0.000106,0.000131,3.4084e-05,3.1657e-05,3.0588e-05,7.3354e-05,0.000138,5.9746e-06
0.51563,6.8872e-05,9.7391e-05,0.00013275,3.4357e-05,3.169e-05,3.0693e-05,7.3401e-05,0.00013875,3.9652e-06
0.52344,6.889e-05,0.000119,0.00013288,3.4184e-05,3.2022e-05,3.0443e-05,7.3546e-05,0.00013888,9.8404e-07
0.53125,6.9443e-05,9.8265e-05,0.000132,3.3495e-05,3.1665e-05,3.0297e-05,7.3205e-05,0.000138,7.2238e-07
0.53906,6.8783e-05,0.000104,0.00013288,3.3579e-05,3.1632e-05,3.0745e-05,7.3616e-05,0.000138,-2.0766e-05
0.54688,6.931e-05,0.00010625,0.00013275,3.3441e-05,3.1574e-05,3.107e-05,7.3704e-05,0.00013875,4.4557e-06
0.55469,6.8895e-05,9.0898e-05,0.00013175,3.3424e-05,3.1573e-05,3.0117e-05,7.2841e-05,0.000138,3.8191e-06
0.5625,6.8591e-05,0.000118,0.000132,3.4055e-05,3.1422e-05,3.0966e-05,7.3935e-05,0.000139,7.8238e-06
0.57031,6.9449e-05,0.00010338,0.00013238,3.3438e-05,3.2191e-05,2.9783e-05,7.4105e-05,0.00013825,2.1356e-05
0.57813,6.8612e-05,0.000103,0.000132,3.3609e-05,3.1299e-05,3.0252e-05,7.3823e-05,0.00013875,2.8447e-06
0.58594,6.8558e-05,0.00010912,0.000133,3.343e-05,3.1898e-05,3.0969e-05,7.3302e-05,0.000138,3.2909e-06
0.59375,6.8937e-05,8.7697e-05,0.000133,3.3363e-05,3.1596e-05,3.1023e-05,7.368e-05,0.0001385,3.9735e-07
0.60156,6.8109e-05,0.00011688,0.000133,3.2983e-05,3.1416e-05,3.0324e-05,7.2508e-05,0.00013875,-1.7331e-05
0.60938,6.9946e-05,0.0001045,0.00013375,3.4184e-05,3.1768e-05,3.0453e-05,7.3318e-05,0.0001385,2.4531e-05
0.61719,6.8891e-05,0.00010237,0.000133,3.357e-05,3.2188e-05,2.9915e-05,7.3154e-05,0.00013737,4.7971e-06
0.625,6.9458e-05,0.000113,0.000133,3.3533e-05,3.1827e-05,2.9756e-05,7.2652e-05,0.000137,1.4538e-07
0.63281,6.9057e-05,8.8899e-05,0.000132,3.3769e-05,3.103e-05,3.0626e-05,7.3304e-05,0.00013762,2.1136e-07
0.64063,6.8202e-05,0.00010625,0.00013275,3.3574e-05,3.1441e-05,3.1141e-05,7.3368e-05,0.00013875,-9.3743e-06
0.64844,6.8637e-05,0.00010775,0.00013375,3.3707e-05,3.1635e-05,3.0733e-05,7.3239e-05,0.00013875,-3.4976e-05
0.65625,6.9066e-05,0.0001005,0.0001325,3.3445e-05,3.1689e-05,3.0622e-05,7.3535e-05,0.000138,2.7873e-06
0.66406,6.9027e-05,0.00011863,0.00013388,3.3449e-05,3.1328e-05,3.1097e-05,7.4154e-05,0.00013788,4.1668e-06
0.67188,6.9606e-05,9.528e-05,0.00013275,3.4005e-05,3.1653e-05,3.0742e-05,7.3201e-05,0.00013725,1.4355e-05
0.67969,6.9494e-05,0.000103,0.000133,3.3691e-05,3.2127e-05,3.002e-05,7.2626e-05,0.00013763,1.9637e-05
0.6875,6.9387e-05,0.000107,0.000133,3.4383e-05,3.1645e-05,3.04e-05,7.2679e-05,0.000137,7.3109e-06
0.69531,6.9751e-05,9.4521e-05,0.000133,3.4098e-05,3.1264e-05,3.0823e-05,7.2361e-05,0.00013725,3.8168e-06
0.70313,6.9294e-05,0.00011975,0.00013225,3.3864e-05,3.1978e-05,3.0609e-05,7.2862e-05,0.00013625,7.9952e-06
0.71094,6.948e-05,0.00010437,0.00013388,3.2755e-05,3.071e-05,3.0416e-05,7.3613e-05,0.00013712,-3.8339e-05
0.71875,6.9719e-05,0.000105,0.000133,3.4158e-05,3.165e-05,3.067e-05,7.4682e-05,0.000138,-1.4968e-05
0.72656,7.0397e-05,0.000108,0.00013212,3.3907e-05,3.1504e-05,3.0124e-05,7.3158e-05,0.00013688,2.1339e-06
0.73438,6.9811e-05,8.8899e-05,0.00013225,3.3164e-05,3.1523e-05,3.1161e-05,7.2985e-05,0.000137,1.4455e-06
0.74219,7.0012e-05,0.00011712,0.00013263,3.3949e-05,3.1772e-05,3.0323e-05,7.3186e-05,0.000137,1.2425e-05
0.75,7.1395e-05,0.000104,0.000131,3.4356e-05,3.211e-05,3.079e-05,7.3311e-05,0.000137,4.052e-05
0.75781,7.009e-05,0.00010362,0.00013162,3.3679e-05,3.1777e-05,3.0364e-05,7.3183e-05,0.00013638,-2.4109e-06
0.76563,7.0191e-05,0.00011075,0.000132,3.3735e-05,3.2218e-05,3.0602e-05,7.3096e-05,0.000137,3.1422e-06
0.77344,7.069e-05,8.7939e-05,0.00013188,3.3468e-05,3.2519e-05,3.0993e-05,7.348e-05,0.00013788,-2.199e-07
0.78125,7.0147e-05,0.000113,0.0001325,3.4474e-05,3.183e-05,3.0184e-05,7.3137e-05,0.000137,-3.8981e-06
0.78906,6.9882e-05,0.00010763,0.00013275,3.3511e-05,3.1098e-05,3.0294e-05,7.2434e-05,0.00013688,-3.7313e-05
0.79688,7.0412e-05,0.00010175,0.000132,3.3125e-05,3.1657e-05,3.1098e-05,7.2798e-05,0.000137,5.351e-06
0.80469,7.0946e-05,0.0001155,0.000132,3.3585e-05,3.1693e-05,3.0394e-05,7.3172e-05,0.00013663,2.0173e-06
0.8125,7.102e-05,9.3733e-05,0.000132,3.3998e-05,3.1782e-05,3.0597e-05,7.2986e-05,0.000137,1.5081e-06
0.82031,7.0381e-05,0.00010238,0.00013138,3.386e-05,3.1605e-05,3.1004e-05,7.3087e-05,0.00013662,1.781e-05
0.82813,7.0882e-05,0.0001065,0.000131,3.4019e-05,3.1816e-05,3.0644e-05,7.383e-05,0.000136,8.4597e-06
0.83594,7.1067e-05,9.8875e-05,0.000131,3.3793e-05,3.1027e-05,3.0719e-05,7.2911e-05,0.00013775,5.3302e-06
0.84375,7.1042e-05,0.0001195,0.000131,3.361e-05,3.1619e-05,3.0232e-05,7.3559e-05,0.000137,2.9543e-06
0.85156,7.0952e-05,0.0001004,0.00013088,3.3366e-05,3.1432e-05,3.0257e-05,7.356e-05,0.000137,-3.6351e-05
0.85938,7.0657e-05,0.000103,0.00013025,3.3291e-05,3.2256e-05,2.9984e-05,7.2372e-05,0.00013625,2.0764e-05
0.86719,7.1054e-05,0.000107,0.000131,3.3964e-05,3.1584e-05,3.0161e-05,7.3567e-05,0.000137,3.197e-06
0.875,7.1291e-05,9.076e-05,0.000131,3.3664e-05,3.1351e-05,2.9411e-05,7.2303e-05,0.000137,8.0772e-06
0.88281,7.0627e-05,0.00011962,0.00013038,3.4078e-05,3.1509e-05,3.0691e-05,7.322e-05,0.000138,4.1195e-06
0.89063,7.0789e-05,0.000105,0.00012975,3.3663e-05,3.1612e-05,3.068e-05,7.341e-05,0.000137,-4.3758e-07
0.89844,7.1142e-05,0.00010375,0.000131,3.384e-05,3.166e-05,2.9963e-05,7.2401e-05,0.000137,1.5774e-06
0.90625,7.1214e-05,0.0001085,0.00013,3.4067e-05,3.1436e-05,3.0424e-05,7.2797e-05,0.000138,3.1392e-06
0.91406,7.1143e-05,8.6943e-05,0.00013012,3.3691e-05,3.1226e-05,3.0592e-05,7.2511e-05,0.000138,3.2481e-06
0.92188,7.0525e-05,0.0001155,0.00013025,3.3718e-05,3.0913e-05,3.1398e-05,7.3556e-05,0.000138,-5.3898e-06
0.92969,7.0735e-05,0.00010463,0.00013,3.37e-05,3.1769e-05,3.1305e-05,7.344e-05,0.000138,1.4567e-05
0.9375,7.0549e-05,0.000102,0.00013,3.3628e-05,3.1401e-05,3.0472e-05,7.3598e-05,0.000137,5.5903e-06
0.94531,6.9891e-05,0.00011175,0.00012975,3.3822e-05,3.1685e-05,3.101e-05,7.3131e-05,0.000138,1.3996e-06
0.95313,7.0259e-05,8.9093e-05,0.00012925,3.3919e-05,3.1795e-05,3.1128e-05,7.3862e-05,0.000138,1.9062e-06
0.96094,7.052e-05,0.00010363,0.00012912,3.3952e-05,3.1744e-05,3.0663e-05,7.3956e-05,0.00013712,4.7587e-05
