time, FPSSternPort, FPSBow, FPSSternStbd, OWCBow, OWCSternPort, OWCSternStbd, FPS_OWCUmbilical, FPSUmbilical, PressureSensor
0.46094,7.1568e-05,9.1442e-05,0.000132,3.3848e-05,3.1179e-05,3.0574e-05,7.3154e-05,0.000136,1.9371e-05
0.46875,7.1258e-05,0.0001045,0.000133,3.3979e-05,3.1639e-05,3.0379e-05,7.2837e-05,0.0001365,6.0272e-06
0.47656,7.0732e-05,0.00010763,0.00013388,3.3453e-05,3.1329e-05,3.0143e-05,7.2864e-05,0.00013612,-8.4731e-06
0.48438,7.0799e-05,9.9044e-05,0.00013225,3.4175e-05,3.128e-05,3.0539e-05,7.3442e-05,0.00013675,2.8261e-06
0.49219,7.1071e-05,0.00012187,0.00013238,3.3852e-05,3.0861e-05,3.0883e-05,7.2646e-05,0.000136,3.4144e-07
0.5,7.1479e-05,9.6986e-05,0.000132,3.327e-05,3.1642e-05,2.9482e-05,7.3389e-05,0.000136,-1.8873e-05
0.50781,7.1285e-05,0.00010662,0.000133,3.3457e-05,3.2026e-05,3.0563e-05,7.4136e-05,0.000136,-2.3296e-05
0.51563,7.1771e-05,0.0001075,0.0001325,3.3949e-05,3.1817e-05,3.1195e-05,7.302e-05,0.000136,5.1945e-06
0.52344,7.0486e-05,9.2981e-05,0.000133,3.3257e-05,3.2117e-05,3.0746e-05,7.3358e-05,0.00013688,1.9934e-06
0.53125,7.0773e-05,0.00012,0.0001335,3.4293e-05,3.2079e-05,3.0278e-05,7.2581e-05,0.0001365,3.1742e-05
0.53906,7.1006e-05,0.00010375,0.000133,3.3617e-05,3.1148e-05,3.0826e-05,7.2442e-05,0.00013688,1.6348e-05
0.54688,7.1096e-05,0.00010525,0.000133,3.3489e-05,3.1279e-05,3.0209e-05,7.3894e-05,0.000136,-1.2906e-05
0.55469,7.0793e-05,0.00010925,0.00013237,3.4263e-05,3.1737e-05,3.027e-05,7.3564e-05,0.000136,5.0692e-06
0.5625,7.079e-05,8.827e-05,0.000134,3.384e-05,3.2068e-05,3.0367e-05,7.3102e-05,0.000136,-5.061e-06
0.57031,7.0268e-05,0.00011825,0.00013375,3.3758e-05,3.1167e-05,3.0919e-05,7.3862e-05,0.00013662,-2.9202e-05
0.57813,7.0343e-05,0.00010575,0.00013225,3.3824e-05,3.2509e-05,3.1174e-05,7.3568e-05,0.00013525,2.4442e-05
0.58594,7.0129e-05,0.0001045,0.000134,3.3614e-05,3.1302e-05,3.0232e-05,7.3407e-05,0.000136,-5.8151e-06
0.59375,7.0112e-05,0.0001135,0.0001335,3.4169e-05,3.1523e-05,3.0248e-05,7.3125e-05,0.000136,1.3799e-06
0.60156,7.0086e-05,8.7664e-05,0.000133,3.3181e-05,3.1304e-05,3.0199e-05,7.2593e-05,0.00013688,-1.0818e-05
0.60938,7.0332e-05,0.000109,0.000133,3.3444e-05,3.1701e-05,3.02e-05,7.2517e-05,0.00013625,1.3471e-05
0.61719,7.1041e-05,0.00010688,0.00013325,3.3622e-05,3.1329e-05,3.0453e-05,7.2938e-05,0.00013637,-3.7261e-08
0.625,7.1237e-05,0.0001,0.000133,3.3983e-05,3.1925e-05,3.0689e-05,7.3785e-05,0.000136,5.9005e-06
0.63281,7.0273e-05,0.00011813,0.00013262,3.3644e-05,3.167e-05,3.0561e-05,7.3308e-05,0.000136,4.1724e-06
0.64063,7.1209e-05,9.1369e-05,0.000132,3.3977e-05,3.1873e-05,2.9616e-05,7.3724e-05,0.000136,3.2843e-05
0.64844,7.033e-05,0.00010312,0.000132,3.3305e-05,3.1494e-05,3.0423e-05,7.3517e-05,0.00013612,1.3882e-05
0.65625,7.126e-05,0.0001075,0.0001325,3.4129e-05,3.197e-05,3.0559e-05,7.3557e-05,0.000136,1.0002e-05
0.66406,7.0067e-05,9.6477e-05,0.00013212,3.3175e-05,3.169e-05,3.0818e-05,7.3173e-05,0.00013688,2.1869e-06
0.67188,7.0204e-05,0.00012175,0.00013275,3.4015e-05,3.1781e-05,3.0966e-05,7.379e-05,0.00013675,8.2308e-06
0.67969,7.1487e-05,9.7102e-05,0.000132,3.4066e-05,3.1904e-05,3.0332e-05,7.253e-05,0.00013637,3.8494e-05
0.6875,6.8761e-05,0.000104,0.000132,3.3413e-05,3.0669e-05,3.0346e-05,7.4755e-05,0.000138,-6.4387e-06
